*Node,xPos,yPos,zPos,xDOF,yDOF,zDOF,forceX,forceY,forceZ,
1,0.400000006,0,0.5,0,0,1,0,0,0,
2,1,0,0.5,0,0,1,0,0,0,
3,1,1,0.5,0,0,1,0,0,0,
4,0,1,0.5,0,0,1,0,0,0,
5,0,0.400000006,0.5,0,0,1,0,0,0,
6,-1,0,0.5,1,1,1,0,0,0,
7,-0.400000006,0,0.5,0,0,1,0,0,0,
8,-1,1,0.5,1,1,1,0,0,0,
9,0,-0.400000006,0.5,0,0,1,0,0,0,
10,0,-1,0.5,0,0,1,0,0,0,
11,1,-1,0.5,0,0,1,0,0,0,
12,-1,-1,0.5,1,1,1,0,0,0,
13,0.699999988,0,0.5,0,0,1,0,0,0,
14,1,0.25,0.5,0,0,1,0,0,0,
15,1,0.5,0.5,0,0,1,0,0,0,
16,1,0.75,0.5,0,0,1,0,0,0,
17,0.75,1,0.5,0,0,1,0,0,0,
18,0.5,1,0.5,0,0,1,0,0,0,
19,0.25,1,0.5,0,0,1,0,0,0,
20,0,0.699999988,0.5,0,0,1,0,0,0,
21,0.200000003,0.346410155,0.5,0,0,1,0,0,0,
22,0.346410155,0.200000003,0.5,0,0,1,0,0,0,
23,-0.699999988,0,0.5,0,0,1,0,0,0,
24,-0.346410155,0.200000003,0.5,0,0,1,0,0,0,
25,-0.200000003,0.346410155,0.5,0,0,1,0,0,0,
26,-0.25,1,0.5,0,0,1,0,0,0,
27,-0.5,1,0.5,0,0,1,0,0,0,
28,-0.75,1,0.5,0,0,1,0,0,0,
29,-1,0.75,0.5,1,1,1,0,0,0,
30,-1,0.5,0.5,1,1,1,0,0,0,
31,-1,0.25,0.5,1,1,1,0,0,0,
32,0.346410155,-0.200000003,0.5,0,0,1,0,0,0,
33,0.200000003,-0.346410155,0.5,0,0,1,0,0,0,
34,0,-0.699999988,0.5,0,0,1,0,0,0,
35,0.25,-1,0.5,0,0,1,0,0,0,
36,0.5,-1,0.5,0,0,1,0,0,0,
37,0.75,-1,0.5,0,0,1,0,0,0,
38,1,-0.75,0.5,0,0,1,0,0,0,
39,1,-0.5,0.5,0,0,1,0,0,0,
40,1,-0.25,0.5,0,0,1,0,0,0,
41,-1,-0.25,0.5,1,1,1,0,0,0,
42,-1,-0.5,0.5,1,1,1,0,0,0,
43,-1,-0.75,0.5,1,1,1,0,0,0,
44,-0.75,-1,0.5,0,0,1,0,0,0,
45,-0.5,-1,0.5,0,0,1,0,0,0,
46,-0.25,-1,0.5,0,0,1,0,0,0,
47,-0.200000003,-0.346410155,0.5,0,0,1,0,0,0,
48,-0.346410155,-0.200000003,0.5,0,0,1,0,0,0,
49,0.368937343,0.426116735,0.5,0,0,1,0,0,0,
50,0.804654539,0.576716125,0.5,0,0,1,0,0,0,
51,0.769557416,0.350351244,0.5,0,0,1,0,0,0,
52,0.365414858,0.704614341,0.5,0,0,1,0,0,0,
53,0.667559981,0.758334398,0.5,0,0,1,0,0,0,
54,0.52836585,0.249190629,0.5,0,0,1,0,0,0,
55,0.186870441,0.515428245,0.5,0,0,1,0,0,0,
56,0.58408165,0.510887265,0.5,0,0,1,0,0,0,
57,-0.426116735,0.368937343,0.5,0,0,1,0,0,0,
